bfid,location_cookie,size,crc,pnfs_path
CDMS154723892200000,0000_000000000_0000018,2480769517,1612360038,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/ZJToMuMuJ_M-50_scales0p5to4_TuneCP5_13TeV_powheg2-minlo-pythia/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/280000/38AC16B7-6F07-E911-9B33-001E67E69E32.root
CDMS154723894100000,0000_000000000_0000019,3832810835,3588306556,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/20000/4CA25749-9707-E911-BA1E-0242AC130002.root
CDMS154723896600000,0000_000000000_0000020,4293125993,82252144,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/10000/22B8194B-5107-E911-8D74-20040FE9C99C.root
CDMS154723898400005,0000_000000000_0000021,3822452411,2391572418,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/10001/C882C978-D007-E911-A30C-20040FE9AD78.root
CDMS154723900300000,0000_000000000_0000022,3770253777,4174099939,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/10000/3814B819-4507-E911-9439-1866DAEEB0A8.root
CDMS154723901900001,0000_000000000_0000023,2709499249,3126394582,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00002/8AFA83C8-A908-E911-B8BB-0242AC130002.root
CDMS154723904100005,0000_000000000_0000024,3782024878,1578406018,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00002/F64EF3EE-8508-E911-8D79-0242AC130002.root
CDMS154723990900000,0000_000000000_0000025,3770476731,2295012316,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/280001/E6D02BB1-BE08-E911-81C8-0CC47A7C345C.root
CDMS154724320400000,0000_000000000_0000026,3778740934,2049979521,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90001/E4AFDB49-C608-E911-B508-0CC47A7C356A.root
CDMS154724521200000,0000_000000000_0000027,2685200992,225831403,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/ZJToMuMuJ_M-50_scales0p5to4_TuneCP5_13TeV_powheg2-minlo-pythia/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/10000/78D8D479-B006-E911-901E-EC0D9A0B3060.root
CDMS154724525300000,0000_000000000_0000028,3753977850,278659486,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00001/C2397E71-5D08-E911-8F4C-EC0D9A0B3050.root
CDMS154724526900001,0000_000000000_0000029,2704968102,4083974656,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/AA127645-2207-E911-ACDC-A4BF01025630.root
CDMS154724528600000,0000_000000000_0000030,2149134553,3492624130,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90000/A6EFD740-1808-E911-B0EC-001E6758651B.root
CDMS154724531000004,0000_000000000_0000031,3771464175,1815075410,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/10002/EAEF733A-2F08-E911-8F96-001E67A3EF70.root
CDMS154724580600006,0000_000000000_0000032,3824368645,2635583649,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/10001/F4979B9B-D607-E911-B4E4-001E675A69DC.root
CDMS154724610300001,0000_000000000_0000033,2705277207,3859769446,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80000/08619437-5508-E911-B420-248A07C6D770.root
CDMS154724612700000,0000_000000000_0000034,3781347831,3498532264,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00001/949A6149-D907-E911-AABC-EC0D9A0B3320.root
