bfid,location_cookie,size,crc,pnfs_path
CDMS154706055400001,0000_000000000_0000001,3320701822,1280384187,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/600B5A84-EC06-E911-A40A-0242AC130002.root
CDMS154706057100000,0000_000000000_0000002,3327908770,1899332719,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/7CDD80D7-1507-E911-8B36-008CFAFBF294.root
CDMS154706059000000,0000_000000000_0000003,2239175851,2269964795,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/9444D9E0-DF06-E911-A899-0242AC130002.root
CDMS154706062200002,0000_000000000_0000004,3297012980,3597932153,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/3E8A5444-1607-E911-BBA3-509A4C748A17.root
CDMS154706064200000,0000_000000000_0000005,3302638892,3726232768,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/B8DC0A13-1F07-E911-9E8C-008CFAF21F34.root
CDMS154706066100002,0000_000000000_0000006,3311326668,2385347115,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/44AAFFBD-E906-E911-9C6E-549F3525B9A0.root
CDMS154706067800000,0000_000000000_0000007,3348332200,3902394050,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/8CEB039C-1E07-E911-A136-0242AC130002.root
CDMS154706069700001,0000_000000000_0000008,3301457786,3288098360,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/92F649B1-F306-E911-83E3-0242AC130002.root
CDMS154706071800000,0000_000000000_0000009,3293049340,1309350408,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/383817FE-DE05-E911-ABE3-0242AC130002.root
CDMS154706073900000,0000_000000000_0000010,3276437368,704440893,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/D61A8E4A-1707-E911-A8C0-0025905A607E.root
