bfid,location_cookie,size,crc,pnfs_path
CDMS156627982200002,0000_000000000_0000001,2744354315,4206608369,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PMToZZTo2e2nu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/50000/F41D9F90-AEB5-E911-979F-0025905A60AA.root
CDMS156627990100006,0000_000000000_0000002,2871987182,3475576855,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0MToZZTo2e2mu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/130000/762559E7-7FB8-E911-81B8-BC305B390A8D.root
CDMS156627996400000,0000_000000000_0000003,2680780759,2265616986,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PMToZZTo2e2nu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/50000/5EBF7220-B8B5-E911-B1F9-0025905B85B8.root
CDMS156628002800008,0000_000000000_0000004,2711361334,39645596,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PMToZZTo2e2nu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/50000/4A868E27-A6B5-E911-A779-0025905B8592.root
CDMS156628006500004,0000_000000000_0000005,2773837859,170386291,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PL1ToZZTo2mu2tau_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/260000/4A8088F8-CFB7-E911-808A-20CF3027A700.root
CDMS156628011800003,0000_000000000_0000006,2710705215,603075752,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PMToZZTo2e2nu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/50000/24087D62-A3B5-E911-B136-0CC47A4C8EB0.root
CDMS156628014000004,0000_000000000_0000007,2807335276,4264271653,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PL1ToZZTo2mu2tau_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/260000/08917378-04B8-E911-8F0B-0CC47A1E0470.root
CDMS156628017700001,0000_000000000_0000008,2710721496,1997973470,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PMToZZTo2e2nu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/50000/9430921D-09B5-E911-95D2-0025905A60D0.root
CDMS156628019600003,0000_000000000_0000009,2715667107,562873829,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PMToZZTo2e2nu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/50000/E6A36078-7EB5-E911-96F6-0CC47A7C34EE.root
CDMS156628021800000,0000_000000000_0000010,2922965447,1405643896,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0MToZZTo2e2mu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/130000/0E75FDEB-85B8-E911-AF7F-B02628341AB0.root
CDMS156628024100005,0000_000000000_0000011,2730916507,1222590515,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PMToZZTo2e2nu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/50000/30E1C457-63B5-E911-B7DA-AC1F6BAC7C1A.root
CDMS156628027400006,0000_000000000_0000012,2730614635,567299818,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PMToZZTo2e2nu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/50000/609BF8D6-39B5-E911-9BE4-0CC47A7AB7A0.root
CDMS156628030500000,0000_000000000_0000013,2728947218,136303384,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PMToZZTo2e2nu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/50000/F0DBB290-A4B5-E911-856E-0CC47A4D769E.root
CDMS156628034500005,0000_000000000_0000014,2954530325,838115757,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0MToZZTo2e2mu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/130000/88404DFC-8AB8-E911-AB0A-008CFAF554D4.root
CDMS156628038300002,0000_000000000_0000015,2920944885,3803756789,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0MToZZTo2e2mu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/130000/5C410A42-72B8-E911-A803-008CFAF2224C.root
CDMS156628041900004,0000_000000000_0000016,2795775469,2294606954,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PL1ToZZTo2mu2tau_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/260000/5C937DD7-DBB7-E911-B441-20CF3019DF02.root
CDMS156628048200007,0000_000000000_0000017,2766569215,1194848557,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PL1ToZZTo2mu2tau_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/260000/50C258B1-A9B7-E911-BE7B-246E96D118E4.root
CDMS156628054200006,0000_000000000_0000018,2885273724,3988355118,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0MToZZTo2e2mu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/130000/8E025C63-84B8-E911-B1AA-F04DA2753F56.root
CDMS156628055900007,0000_000000000_0000019,2734891134,486134036,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PMToZZTo2e2nu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/50000/E0F698E3-33B5-E911-BBDD-0025905B8598.root
CDMS156628060900012,0000_000000000_0000020,2891730417,2640526337,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0MToZZTo2e2mu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/130000/B674D59A-8EB8-E911-A463-B496912ED3C8.root
CDMS156628063000001,0000_000000000_0000021,2751976431,1584711398,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PMToZZTo2e2nu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/50000/265B14EF-61B5-E911-9E90-0CC47A4D7616.root
CDMS156628064800009,0000_000000000_0000022,2922350753,2286296474,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0MToZZTo2e2mu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/130000/646BDC46-78B8-E911-B091-44A842B4CC8B.root
CDMS156628068400006,0000_000000000_0000023,2790643015,1973907807,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PL1ToZZTo2mu2tau_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/260000/88199BB9-15B8-E911-9EF9-001E6757E05C.root
CDMS156628070000008,0000_000000000_0000024,2875222558,3052014048,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0MToZZTo2e2mu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/130000/20FB2325-70B8-E911-81DC-B496912ED340.root
CDMS156628073100006,0000_000000000_0000025,2802746131,3603955790,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PL1ToZZTo2mu2tau_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/260000/6A50F692-B4B7-E911-AFFF-246E96D10C28.root
CDMS156628076800006,0000_000000000_0000026,2888996298,3760078098,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0MToZZTo2e2mu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/130000/066DC318-7BB8-E911-B5FF-44A842BECCCB.root
CDMS156628080000006,0000_000000000_0000027,2885343576,2792452923,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0MToZZTo2e2mu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/130000/08C4B631-84B8-E911-B7E9-7CD30AC030B4.root
CDMS156628087700007,0000_000000000_0000028,2698987300,1980156262,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PMToZZTo2e2nu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/50000/36DA2427-12B5-E911-94C8-0025905A610C.root
CDMS156628089900002,0000_000000000_0000029,2907591567,2546121571,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0MToZZTo2e2mu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/130000/9C56DDE8-7AB8-E911-836D-B02628342EA0.root
CDMS156628094100007,0000_000000000_0000030,2745390865,3793835619,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PMToZZTo2e2nu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/50000/EEC41CC4-61B5-E911-8413-0025905B857C.root
