bfid,location_cookie,size,crc,pnfs_path
CDMS154706058300000,0000_000000000_0000001,3285381302,3665377046,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/AEB45EB5-DE05-E911-A037-0242AC130002.root
CDMS154706060300001,0000_000000000_0000002,3299949639,1341271759,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/C677DA2B-DF05-E911-9D17-0242AC130002.root
CDMS154706063400000,0000_000000000_0000003,3303813505,490575971,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/08F2941D-E406-E911-8C7E-0242AC130002.root
CDMS154706066400003,0000_000000000_0000004,3342143347,2126405398,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/7CC036CB-FC06-E911-9CFA-0242AC130002.root
CDMS154706068500000,0000_000000000_0000005,3339684692,166787159,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/44C13A0B-1D07-E911-8BCC-0242AC130002.root
CDMS154706071100000,0000_000000000_0000006,3313177124,4260928365,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/9670A164-DF05-E911-AB4E-0242AC130002.root
CDMS154706073000001,0000_000000000_0000007,3294864003,2594609889,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/02291508-0207-E911-BEAA-801844E41028.root
CDMS154706074900000,0000_000000000_0000008,3280170126,3559917443,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/BAE89BF7-E606-E911-9433-0CC47A7C340E.root
CDMS154706077200000,0000_000000000_0000009,3292832242,2550769908,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/D84853F3-1E07-E911-9FEE-0025905A60E0.root
CDMS154706079200001,0000_000000000_0000010,3294480207,1913397025,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/2E01D4A0-2307-E911-9B3B-0CC47A4C8E64.root
CDMS154706086600000,0000_000000000_0000011,3320521270,4161021241,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/8037CD1E-DF05-E911-A750-0242AC130002.root
CDMS154706088300004,0000_000000000_0000012,3296515796,2448733301,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/E02190EE-FB06-E911-AEC4-008CFA1C907C.root
CDMS154706090400003,0000_000000000_0000013,3301606112,3802293777,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/B8F7DDBB-DE05-E911-9249-0242AC130002.root
CDMS154706093200000,0000_000000000_0000014,3315228790,3683853464,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/B8D54301-0E07-E911-8888-801844DEEFD8.root
CDMS154706095100001,0000_000000000_0000015,3292007386,3932703000,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/DE43809D-0007-E911-BEE5-0CC47A745250.root
CDMS154706097100001,0000_000000000_0000016,3306659098,1023459524,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/AAA48081-F406-E911-AEEB-0CC47A4C8F30.root
CDMS154706099700002,0000_000000000_0000017,3317069918,558154610,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/0CA22AC6-1E07-E911-9B9A-0CC47A4D7630.root
CDMS154706102200001,0000_000000000_0000018,3283815664,274347730,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/CCA3A31B-5C07-E911-9F2B-A0369FC5B7B0.root
CDMS154706104300000,0000_000000000_0000019,3284861908,3167130664,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/02FC4890-E606-E911-B3C1-0242AC130002.root
CDMS154706106000000,0000_000000000_0000020,3303491400,3542411313,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/00000/7292B396-F106-E911-AC0C-001E67DDBEDA.root
