bfid,location_cookie,size,crc,pnfs_path
CDMS156627743300000,0000_000000000_0000001,2769204577,2632947416,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PL1ToZZTo2mu2tau_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/260000/3C103261-CDB7-E911-A053-0CC47AFC3D32.root
CDMS156627744800000,0000_000000000_0000002,2729483027,2522218724,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PMToZZTo2e2nu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/50000/5C081CB2-9FB5-E911-9852-0CC47A78A4B0.root
CDMS156627746700001,0000_000000000_0000003,2796103166,402507211,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PL1ToZZTo2mu2tau_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/260000/A87926D9-F4B7-E911-A04C-F4E9D4AF1010.root
CDMS156627748700001,0000_000000000_0000004,2808387786,807303451,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PL1ToZZTo2mu2tau_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/260000/D0AE13D2-06B8-E911-85FD-0025904B02AE.root
CDMS156627750300004,0000_000000000_0000005,2759924770,2045207170,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PL1ToZZTo2mu2tau_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/260000/16DE87BE-DBB7-E911-BC09-00259073BB58.root
CDMS156627751900000,0000_000000000_0000006,2785768037,2060936917,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PL1ToZZTo2mu2tau_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/260000/5E81A32A-13B8-E911-8170-14187763B750.root
CDMS156627753800000,0000_000000000_0000007,2780636070,853124729,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PL1ToZZTo2mu2tau_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/260000/F22F80EF-B1B7-E911-8AC5-0CC47AFC3C6E.root
CDMS156627755300000,0000_000000000_0000008,2770575820,1451573067,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PL1ToZZTo2mu2tau_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/260000/707C2868-E4B7-E911-8B33-001E6757EAA4.root
CDMS156627756700005,0000_000000000_0000009,2689390269,356423465,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PMToZZTo2e2nu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/50000/9E5434D9-68B5-E911-BFFC-0CC47A4C8EE2.root
CDMS156627758500002,0000_000000000_0000010,2713470047,922384554,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PMToZZTo2e2nu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/50000/FA81D802-7BB5-E911-B81A-0025905A6082.root
CDMS156627760100001,0000_000000000_0000011,2742180177,910956838,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PMToZZTo2e2nu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/50000/48CC7EF9-C2B5-E911-8FAC-0CC47A78A33E.root
CDMS156627761600000,0000_000000000_0000012,2734234971,3261263963,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PMToZZTo2e2nu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/50000/3216EB84-33B5-E911-A3A2-0CC47A4D7698.root
CDMS156627763000007,0000_000000000_0000013,2715990972,813107009,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIISummer19UL17HLT/GluGluToHiggs0PMToZZTo2e2nu_M125_GaSM_13TeV_MCFM701_pythia8/GEN-SIM-RAW/94X_mc2017_realistic_v15-v2/50000/A45FA763-91B5-E911-B2C3-0CC47A7AB7A0.root
